Date	Close	Open	High	Volume	macd	macd_h	macd_s	trading_signal
2022-04-27	293.836669921875	299.52667236328125	306.0	76956300	-2.8744975249878735	-6.882874509633196	4.008376984645323	0
2022-04-28	292.5033264160156	299.99334716796875	300.0	124948500	-5.176970033164309	-7.348277614247706	2.1713075810833966	0
2022-04-29	290.2533264160156	300.75	311.4666748046875	88133100	-7.101391855431757	-7.418159549212123	0.31676769378036584	0
2022-05-02	300.9800109863281	286.92333984375	302.1199951171875	75781500	-7.6725122706257025	-6.391423971524855	-1.2810882991008479	0
2022-05-03	303.0833435058594	301.05999755859375	308.02667236328125	63709500	-7.864748038571406	-5.266927791576446	-2.5978202469949596	0
2022-05-04	317.5400085449219	301.3133239746094	318.5	81643800	-6.7724951124661175	-3.339739892376926	-3.4327552200891915	0
2022-05-05	291.09332275390625	313.00665283203125	315.20001220703125	92519100	-7.949269092578959	-3.6132110979918135	-4.336057994587145	0
2022-05-06	288.54998779296875	295.6666564941406	296.0	72903000	-8.983540166843909	-3.71798573780541	-5.265554429038499	0
2022-05-09	262.3699951171875	278.8166809082031	281.8766784667969	90810300	-11.779922445126942	-5.2114944128707545	-6.568428032256188	0
2022-05-10	266.67999267578125	273.10333251953125	275.1199951171875	84401700	-13.49275864201212	-5.539464487804745	-7.953294154207375	0
2022-05-11	244.6666717529297	265.0	269.92333984375	97224600	-16.43700908479053	-6.786971944466526	-9.650037140324006	0
2022-05-12	242.6666717529297	233.6666717529297	253.22000122070312	140313000	-18.715985823892765	-7.252758946855007	-11.463226877037759	0
2022-05-13	256.5299987792969	257.82666015625	262.45001220703125	92150700	-19.182314892893544	-6.175270412684627	-13.007044480208917	0
2022-05-16	241.4566650390625	255.72000122070312	256.586669921875	86098500	-20.531501728022306	-6.01956579825071	-14.511935929771596	0
2022-05-17	253.8699951171875	249.1199951171875	254.82666015625	80236200	-20.364342555830945	-4.681925300847478	-15.682417254983466	0
2022-05-18	236.60333251953125	248.17333984375	253.5	87811800	-21.37870269873241	-4.557028354999154	-16.821674343733257	0
2022-05-19	236.47332763671875	235.6666717529297	244.6666717529297	90296700	-21.940168126714582	-4.094795026385061	-17.84537310032952	0
2022-05-20	221.3000030517578	237.99667358398438	240.52667236328125	144973200	-23.34043994599415	-4.396053476531701	-18.944386469462447	0
2022-05-23	224.96665954589844	218.33999633789062	226.65333557128906	88903500	-23.879034272723402	-3.9477182426087616	-19.93131603011464	0
2022-05-24	209.3866729736328	217.8433380126953	217.97332763671875	89092500	-25.271732069826214	-4.272332831769258	-20.999399238056956	0
2022-05-25	219.60000610351562	207.9499969482422	223.10667419433594	92139300	-25.26014129571584	-3.408593646127109	-21.85154764958873	0
2022-05-26	235.91000366210938	220.47332763671875	239.55667114257812	106003200	-23.662112920491182	-1.4484522167219573	-22.213660703769225	0
2022-05-27	253.2100067138672	241.0833282470703	253.26666259765625	89295000	-20.76038545519785	1.1626201988571019	-21.92300565405495	1
2022-05-31	252.75332641601562	257.9466552734375	259.6000061035156	101914500	-18.28679700381153	2.9089669201947395	-21.19576392400627	0
2022-06-01	246.7899932861328	251.72000122070312	257.32666015625	77247900	-16.61611129295747	3.6637221048390387	-20.27983339779651	0
2022-06-02	258.3333435058594	244.1566619873047	264.2099914550781	93473100	-14.196975048487275	4.866286679447388	-19.063261727934663	0
2022-06-03	234.51666259765625	243.22666931152344	247.79666137695312	112393800	-14.039757663890214	4.0188032512355605	-18.058560915125774	0
2022-06-06	238.27999877929688	244.35333251953125	244.86666870117188	84204600	-13.456375257891068	3.6817485257877642	-17.138123783678832	0
